stamp,pwm,velocity,steering_angle,joy_axes,joy_buttons
1734795095.5920017,660000,0.0,560000,"[]","[]"
1734795095.5942886,660000,0.0,560000,"[]","[]"
1734795095.5998724,660000,0.30773279070854187,560000,"[]","[]"
1734795095.6696217,660000,0.0,560000,"[]","[]"
1734795095.6919086,660000,0.0,560000,"[]","[]"
1734795095.693449,660000,0.0,560000,"[]","[]"
1734795095.7398443,660000,0.0,560000,"[]","[]"
1734795095.791969,660000,0.0,560000,"[]","[]"
1734795095.7929525,660000,0.0,560000,"[]","[]"
1734795095.8097768,660000,0.0,560000,"[]","[]"
1734795095.879865,660000,0.0,560000,"[]","[]"
1734795095.8928354,660000,0.0,560000,"[]","[]"
1734795095.8936543,660000,0.0,560000,"[]","[]"
1734795095.949941,660000,0.0,560000,"[]","[]"
1734795095.9919844,660000,0.0,560000,"[]","[]"
1734795095.9933934,660000,0.0,560000,"[]","[]"
1734795096.0195503,660000,0.0,560000,"[]","[]"
1734795096.090557,660000,0.0,560000,"[]","[]"
1734795096.0925033,660000,0.0,560000,"[]","[]"
1734795096.0942938,660000,0.0,560000,"[]","[]"
1734795096.160299,660000,0.0,560000,"[]","[]"
1734795096.1919928,660000,0.0,560000,"[]","[]"
1734795096.1950054,660000,0.0,560000,"[]","[]"
1734795096.2296855,660000,0.0,560000,"[]","[]"
1734795096.292105,660000,0.0,560000,"[]","[]"
1734795096.2929265,660000,0.0,560000,"[]","[]"
1734795096.2993615,660000,0.0,560000,"[]","[]"
1734795096.36966,660000,0.0,560000,"[]","[]"
1734795096.3926227,660000,0.0,560000,"[]","[]"
1734795096.39294,660000,0.0,560000,"[]","[]"
1734795096.4401846,660000,0.0,560000,"[]","[]"
1734795096.4938428,660000,0.0,560000,"[]","[]"
1734795096.4947019,660000,0.0,560000,"[]","[]"
1734795096.5097508,660000,0.0,560000,"[]","[]"
1734795096.5798833,660000,0.0,560000,"[]","[]"
1734795096.5925112,660000,0.0,560000,"[]","[]"
1734795096.594239,660000,0.0,560000,"[]","[]"
1734795096.6498404,660000,0.0,560000,"[]","[]"
