stamp,pwm,velocity,steering_angle,distance,has_target,target_center_offset,control
1734795503.4899936,585000,0.0,556869,0.35687732696533203,True,-12,585000.0
1734795503.5596015,715266,0.3420167863368988,556194,0.36419641971588135,True,-8,715266.75
1734795503.631319,715315,0.0,560629,0.3646257519721985,True,-4,715315.8125
1734795503.6999042,715487,0.7664278745651245,572633,0.3712497353553772,True,0,715487.6875
1734795503.769624,715721,0.0,581637,0.22701454162597656,True,6,715721.5
1734795503.8392131,715809,1.1342277526855469,579404,0.37920260429382324,True,9,715810.0
1734795503.9089773,585000,3.3744516372680664,591431,0.3513164520263672,True,14,585000.0
1734795503.9789276,715000,2.7922236919403076,597461,0.33408182859420776,True,18,715000.0
1734795504.0489273,585000,2.3092753887176514,609477,0.3311173915863037,True,23,585000.0
1734795504.1204865,715000,0.0,613299,0.31948453187942505,True,27,715000.0
1734795504.1888876,715166,1.9445847272872925,608114,0.28652817010879517,True,28,715166.625
1734795504.295634,585000,1.4584845304489136,602208,0.3032107949256897,True,27,585000.0
1734795504.4359233,660000,0.0,606871,0.28014951944351196,True,30,660000.0
1734795504.6744683,660000,0.0,623582,0.30292457342147827,True,35,660000.0
1734795504.8071342,715000,0.0,620726,0.3313218355178833,True,36,715000.0
1734795504.8800426,715322,0.0,603595,0.34430402517318726,True,32,715322.5625
1734795505.1151824,715507,1.0562200546264648,630818,0.3677537441253662,True,41,715507.1875
1734795505.4229298,715825,1.7486902475357056,634227,0.34142136573791504,True,46,715825.8125
1734795505.817131,585000,2.7812623977661133,653603,0.27013176679611206,True,57,585000.0
1734795506.4393697,660000,0.0,644830,0.2923957109451294,True,49,660000.0
1734795506.6161418,715000,0.0,640600,0.3434862494468689,True,46,715000.0
1734795506.949561,715564,0.9775500297546387,623029,0.34277069568634033,True,37,715564.6875
1734795507.284399,585000,1.802309274673462,596333,0.3644213080406189,True,22,585000.0
1734795507.6455657,715000,0.0,576234,0.39972877502441406,True,7,715000.0
1734795507.8302789,715165,0.0,571024,0.43618112802505493,True,5,715165.3125
1734795508.011004,716059,0.0,570258,0.4939160943031311,True,0,716059.3125
1734795508.187321,716878,0.0,573272,0.508901834487915,True,2,716878.5625
1734795508.446701,717289,3.224902868270874,570273,0.4939160943031311,True,0,717289.0625
1734795508.64337,585000,2.607989549636841,560494,0.4350566864013672,True,-8,585000.0
1734795508.8285,660000,1.9779213666915894,549981,0.3989109992980957,True,-12,660000.0
1734795508.8959942,660000,1.424501895904541,559679,0.3875030279159546,True,-10,660000.0
1734795508.9616716,660000,0.0,578378,0.39151012897491455,True,-5,660000.0
1734795509.0312521,715000,0.0,562667,0.3860923647880554,True,-5,715000.0
1734795509.1030962,715132,0.0,577620,0.443132221698761,True,-4,715132.125
1734795509.1720905,715988,0.4405476450920105,574590,0.42287182807922363,True,-6,715988.25
1734795509.2438397,585000,0.0,541642,0.4600192904472351,True,-4,585000.0
1734795509.3116784,715000,0.0,545381,0.350416898727417,True,-9,715000.0
1734795509.3818376,585000,0.6452592611312866,552848,0.48994988203048706,True,-7,585000.0
1734795509.4552412,716592,0.0,564821,0.29654592275619507,True,-5,716592.0625
1734795509.5220687,585000,0.7345951795578003,566310,0.5102511644363403,True,-4,585000.0
1734795509.5912151,715000,0.0,569306,0.35033512115478516,True,-2,715000.0
1734795509.6625156,715216,1.6304986476898193,570803,0.527853786945343,True,-1,715216.5625
1734795509.731495,715000,0.0,573804,0.5381986498832703,True,1,715000.0
1734795509.8034973,715389,0.9157245755195618,573064,0.5378919839859009,True,2,715389.625
1734795509.8715386,716014,0.0,602072,0.5217818021774292,True,11,716014.5625
1734795509.9431598,716124,1.1123709678649902,555223,0.44325488805770874,True,2,716124.125
1734795510.0140395,716452,1.4268964529037476,582853,0.48048412799835205,True,7,716452.0625
1734795510.0825186,715000,1.5906291007995605,579122,0.4439704418182373,True,6,715000.0
1734795510.15128,585000,1.3605238199234009,579134,0.5407133102416992,True,6,585000.0
1734795510.2213762,715304,0.0,584395,0.5688039064407349,True,8,715000.0
1734795510.2934444,715911,1.2281712293624878,582165,0.5516510605812073,True,8,715911.5625
1734795510.3627272,716130,2.6609840393066406,582181,0.4722859263420105,True,8,716130.125
1734795510.432774,716367,1.8855481147766113,585201,0.5570483803749084,True,10,716367.9375
1734795510.5025837,715000,1.656714916229248,585221,0.5245417952537537,True,10,715000.0
1734795510.5730546,585000,0.0,585241,0.48222190141677856,True,10,585000.0
1734795510.6428268,660000,1.455795168876648,597975,0.4887232184410095,True,11,660000.0
1734795510.7158577,715210,0.0,592767,0.47982990741729736,True,12,715210.0625
1734795510.7845244,715335,0.8770593404769897,588310,0.5402022004127502,True,12,715335.9375
1734795510.853267,716566,1.1567938327789307,577095,0.49947696924209595,True,9,716566.5
1734795510.9218526,585000,2.7422537803649902,595022,0.5486252903938293,True,12,585000.0
1734795510.991471,715000,0.0,581625,0.3334276080131531,True,9,715000.0
1734795511.0632021,585000,1.2256438732147217,583889,0.4731445908546448,True,9,585000.0
1734795511.1331165,715000,1.1129000186920166,585409,0.5880420804023743,True,10,715000.0
1734795511.2033937,716647,3.104762554168701,581686,0.5913745164871216,True,9,716647.9375
1734795511.273493,717038,1.9084521532058716,580199,0.5989593863487244,True,8,717038.0625
1734795511.3460286,717773,1.5717473030090332,593695,0.5083702802658081,True,8,717773.5
1734795511.4133925,585000,1.8561590909957886,582472,0.47085481882095337,True,8,585000.0
1734795511.4818392,660000,1.698108196258545,580994,0.5191035866737366,True,7,660000.0
1734795511.551703,715000,0.0,592316,0.4662957191467285,True,10,715000.0
1734795511.6230886,585000,1.2226383686065674,585531,0.547275960445404,True,10,585000.0
1734795511.6922681,715000,1.393614649772644,580303,0.5810500979423523,True,8,715000.0
1734795511.7623608,715613,0.0,592350,0.5042609572410583,True,10,715613.125
1734795511.8333538,585000,1.5207645893096924,560120,0.429168701171875,True,2,585000.0
1734795511.9017212,660000,2.4764418601989746,582592,0.44439977407455444,True,8,660000.0
1734795511.9715786,715110,0.0,565407,0.5186129212379456,True,4,715110.8125
1734795512.0434358,716109,0.9148780703544617,582621,0.5183471441268921,True,8,716109.625
1734795512.1127748,716518,2.9116315841674805,597663,0.5366857647895813,True,12,716518.125
1734795512.1851342,717083,1.922979474067688,599902,0.5659008026123047,True,12,717083.3125
1734795512.2531254,717688,1.4261772632598877,611179,0.5516715049743652,True,18,717688.3125
1734795512.3232405,718253,1.7520264387130737,588726,0.5269951224327087,True,12,718253.75
